from,to,relationship,year
fb,ft,2,2021
fb,rs,2,2021
fb,tl,2,2021
fb,bs,2,2021
fb,co,2,2021
fb,mt,2,2021
fb,ck,2,2021
fb,jb,2,2021
fb,esco,6,2007
fb,lpw,6,2010
fb,uzk,2,2017
fb,btf,2,2021
fb,btf,2,2017
fb,epd,2,2013
fb,hbs,6,2007
fb,um,7,2010
fb,sipa,7,2004
fb,spp,7,2004
fb,eup,3,2021
fb,asl,3,2021
fb,zfi,4,2021
fb,vdf,3,2021
fb,twe,3,2020
fb,iep,3,2020
fb,ecfr,3,2020
fb,ebd,3,2020
fb,tws,3,2017
fb,hia,3,2017
fb,foe,3,2017
fb,dfi,3,2017
fb,bmuk,3,2017
fb,jdi,4,2017
fb,aev,3,2017
fb,aae,2,2021
fb,aua,2,2013
fb,aua,2,2017
fb,eua,2,2017
fb,fsf,2,2017
fb,dfp,2,2021
fb,bwk,1,2021
ft,fb,2,2021
ft,rs,2,2021
ft,tl,2,2021
ft,bs,2,2021
ft,co,2,2021
ft,mt,2,2021
ft,ck,2,2021
ft,jb,2,2021
ft,ca,7,2003
ft,gbf,6,1999
ft,kfw,3,2021
ft,svv,6,2021
ft,gzs,3,2021
ft,fmg,2,2013
ft,dbt,2,2017
ft,lir,2,2022
ft,ass,6,2018
ft,ha,2,2021
ft,uwa,2,2021
ft,aet,2,2021
ft,aih,2,2021
ft,wig,2,2021
ft,fna,2,2021
ft,bdf,1,2021
rs,ft,2,2021
rs,fp,2,2021
rs,tl,2,2021
rs,bs,2,2021
rs,co,2,2021
rs,mt,2,2021
rs,ck,2,2021
rs,jb,2,2021
rs,fba,7,1985
rs,gl,3,2017
rs,wfs,3,2020
rs,dbu,3,2017
rs,rhb,3,2017
rs,lkw,3,2017
rs,alu,3,2017
rs,gar,4,2017
rs,ver,3,2021
rs,aw,3,2021
rs,gvfd,3,2021
rs,evee,3,2021
rs,kfw,3,2017
rs,klr,3,2021
rs,bih,1,2021
tl,dkp,2,2021
tl,ft,2,2021
tl,rs,2,2021
tl,fb,2,2021
tl,bs,2,2021
tl,co,2,2021
tl,mt,2,2021
tl,ck,2,2021
tl,jb,2,2021
tl,rbg,6,2018
tl,eud,3,2017
tl,eow,4,2017
tl,dik,3,2017
tl,afo,3,2017
tl,kit,3,2011
tl,ha,2,2021
tl,rpa,2,2021
tl,va,2,2021
tl,asa,1,2021
bs,ft,2,2021
bs,rs,2,2021
bs,tl,2,2021
bs,fb,2,2021
bs,co,2,2021
bs,mt,2,2021
bs,ck,2,2021
bs,jb,2,2021
bs,frr,6,2016
bs,syn,6,2017
bs,lgs,7,2014
bs,ukz,7,2012
bs,bco,3,2019
bs,zos,3,2018
bs,utb,2,2021
bs,aih,2,2021
bs,ai,3,2021
bs,brb,3,2021
bs,jus,1,2021
co,ft,2,2021
co,rs,2,2021
co,tl,2,2021
co,bs,2,2021
co,fb,2,2021
co,mt,2,2021
co,ck,2,2021
co,jb,2,2021
co,epd,2,2009
co,avi,2,2021
co,dbt,2,2013
co,ths,3,2018
co,ths,3,2022
co,dts,3,2022
co,ajc,2,2022
co,lrr,6,1987
co,rga,6,1987
co,jzr,6,1987
co,efr,7,1994
co,iff,3,2021
co,avse,4,2021
co,ub,6,2021
co,wg,3,2021
co,sbe,3,2021
co,sgf,3,2021
co,hbs,3,2021
co,fpp,3,2021
co,dsi,4,2021
co,dpz,3,2021
co,aiv,3,2021
co,ifm,3,2021
co,gzs,3,2021
co,avi,2,2017
co,aa,2,2017
co,aa,2,2013
co,wue,2,2013
co,eul,1,2021
mt,ft,2,2021
mt,rs,2,2021
mt,tl,2,2021
mt,bs,2,2021
mt,co,2,2021
mt,fb,2,2021
mt,ck,2,2021
mt,jb,2,2021
mt,eku,7,1995
mt,cal,6,1987
mt,wcd,3,2021
mt,bbug,3,2021
mt,idi,3,2021
mt,kfw,4,2020
mt,aie,3,2018
mt,cnc,4,2018
mt,ae,4,2018
mt,twf,4,2018
mt,wds,3,2018
mt,ths,3,2018
mt,rms,3,2018
mt,lba,3,2018
mt,ksf,3,2018
mt,dbt,2,2017
mt,leu,4,2018
mt,has,2,2021
mt,aus,2,2017
mt,afg,2,2017
mt,aft,2,2017
mt,awe,2,2017
mt,duv,1,2021
ck,ft,2,2021
ck,rs,2,2021
ck,tl,2,2021
ck,bs,2,2021
ck,co,2,2021
ck,mt,2,2021
ck,fb,2,2021
ck,jb,2,2021
ck,arv,2,2017
ck,aun,2,2017
ck,ha,2,2017
ck,kum,2,2013
ck,ruv,2,2013
ck,unb,2,2013
ck,vdi,2,2013
ck,due,3,2021
ck,bb,3,2021
ck,vwe,3,2018
ck,prs,3,2017
ck,swr,3,2017
jb,unsv,1,2021
jb,ft,2,2021
jb,rs,2,2021
jb,tl,2,2021
jb,bs,2,2021
jb,co,2,2021
jb,mt,2,2021
jb,ck,2,2021
jb,fb,2,2021
jb,yec,3,2021
jb,fph,3,2021
jb,lsl,3,2021
jb,dst,3,2021
jb,das,3,2021
jb,bmh,3,2021
jb,abf,2,2021
jb,fsf,2,2021
jb,bbf,1,2021
