id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,Franziska Brantner,0,1,1979,Staatssekretaerin,Doktor,Sozialwissenschaften,1,,1,14044,4470,3416,26
esco,,EuropeanStudiesCenterOxford,1,,,,,,,,,,,,
lpw,,LehrstuhlfuerPolitischeWissenschaft2,1,,,,,,,,,,,,
btf,,1,1,,,,,,,,,,,,
epd,,EuropaeischesParlamentfuerDeutschland,1,,,,,,,,,,,,
um,,UniMannheim,1,,,,,,,,,,,,
sipa,,ColumbiaUniversitysSchoolofPublicandInternationalAffairs,1,,,,,,,,,,,,
spp,,InstitutdEtudesPolitiquesParis,1,,,,,,,,,,,,
eup,,EuropeanPolicyCentre,1,,,,,,,,,,,,
asl,,Asylos,1,,,,,,,,,,,,
zfi,,ZentrumfuerInternationaleFriedenseinsätzegemeinnützigeGmbH,1,,,,,,,,,,,,
vdf,,VereinigungDeutschFranzösischerGesellschaftenfuerEuropaeV,1,,,,,,,,,,,,
twe,,TuWasfuerEuropae.V.,1,,,,,,,,,,,,
iep,,InstitutfuerEuropaeischePolitike.V.,1,,,,,,,,,,,,
ecfr,,EuropeanCouncilonForeignRelations,1,,,,,,,,,,,,
ebd,,EuropaeischeBewegungDeutschlande.V.,1,,,,,,,,,,,,
tws,,TuWas–Stiftung für Gemeinsinn,1,,,,,,,,,,,,
hia,,HumanityinActione.V.,1,,,,,,,,,,,,
foe,,FriendsofEurope,1,,,,,,,,,,,,
dfi,,Deutsch-FranzösischesInstitute.V.,1,,,,,,,,,,,,
bmuk,,BundesstiftungMutterundKind-SchutzdesungeborenenLebens,1,,,,,,,,,,,,
jdi,,JacquesDelorsInstitut–BerlingemeinnuetzigeGmbH,1,,,,,,,,,,,,
aev,,AvantiEuropee.V.,1,,,,,,,,,,,,
uzk,,UnterausschussZivileKrisenpraevention,1,,,,,,,,,,,,
aae,,AusschussfuerdieAngelegenheitenderEuropaeischenUnion,1,,,,,,,,,,,,
aua,,AuswaertigerAusschuss,1,,,,,,,,,,,,
eua,,EuropaeischeUnionAusschuss,1,,,,,,,,,,,,
dfp,,Deutsch-FranzoesischeParlamentarischeVersammlung,1,,,,,,,,,,,,
bwk,,BundesministeriumfuerWirtschaftundKlimaschutz,1,,,,,,,,,,,,
ft,Toncar,Florian Toncar,0,2,1979,Staatssekretär,Doktor,Rechtswissenschaften,2,evangelisch,3,8588,3069,4478,99
fdpb,,FDPBundestagsfraktion,1,,,,,,2,,,,,,
buf,,RechtsanwaltfuerBankenundFinanzaufsicht,1,,,,,,,,,,,,
fbd,,FreshfieldsBruckhausDeringer,1,,,,,,,,,,,,
eku,,EberhardKarlsUniversitaetTuebingen,1,,,,,,,,,,,,
lgs,,LandgerichtStuttgart,1,,,,,,,,,,,,
hb,,Heidelberg,1,,,,,,,,,,,,
ca,,Cambridge,1,,,,,,,,,,,,
gbf,,GrundwehrdienstbeimFernmelderegiment220Donauwoerth,1,,,,,,,,,,,,
kfw,,KreditanstaltfuerWiederaufbau,1,,,,,,,,,,,,
svv,,StiftungVerantwortungseigentume.V.,1,,,,,,,,,,,,
ass,,AnwaltServiceStuttgartGmbH,1,,,,,,,,,,,,
dbt,,DeutscherBundestag,1,,,,,,,,,,,,
fmg,,Finanzmarktgremium,1,,,,,,,,,,,,
lir,,LandesfachausschussInnenundRecht,1,,,,,,,,,,,,
uwa,,3.UntersuchungsausschussWirecard-Affaere,1,,,,,,,,,,,,
aet,,Aeltestenrat,1,,,,,,,,,,,,
aih,,AusschussfuerInneresundHeimat,1,,,,,,,,,,,,
wig,,AusschussfuerWahlpruefungImmunitaetundGeschaeftsordnung,1,,,,,,,,,,,,
fna,,Finanzausschuss,1,,,,,,,,,,,,
bdf,,BundesministeriumderFinanzen,1,,,,,,,,,,,,
rs,Schwarzeluehr-Sutter,Rita Schwarzeluehr-Sutter,0,1,1962,Staatssekretaerin,Diplom-Betriebswirtin,Wirtschaftswissenschaften,3,roemischkatholisch,2,4249,1534,2941,
spd,,SPD,1,,,,,,3,,,,,,
ubn,,Unternehmensberaterin,1,,,,,,,,,,,,
mbrz,,MitarbeiterinderBundestagsabgeordnetenRehbockZureich,1,,,,,,,,,,,,
mar,,MarketingAssistentin,1,,,,,,,,,,,,
zue,,Zuerich,1,,,,,,,,,,,,
fba,,FreiburgimBreisgau,1,,,,,,,,,,,,
wfs,,WirtschaftsforumderSPDe.V.,1,,,,,,3,,,,,,
dbu,,DeutscheBundesstiftungUmwelt,1,,,,,,,,,,,,
rhb,,RegionalverbandHochrhein-Bodensee,1,,,,,,,,,,,,
lkw,,LandkreisWaldshut,1,,,,,,,,,,,,
gl,,GemeindeLauchringen,1,,,,,,,,,,,,
